timestamp,ticker,close,regime,prob_sideways,prob_trending,regime_label
2022-01-31 10:15:00,VIKASPROP,2.6,1,0.0,1.0,Trending
2022-01-31 10:16:00,VIKASPROP,2.55,1,0.0,1.0,Trending
2022-01-31 10:17:00,VIKASPROP,2.6,1,0.0,1.0,Trending
2022-01-31 10:18:00,VIKASPROP,2.6,0,0.9998331301604247,0.0001668698395742395,Sideways
2022-01-31 10:19:00,VIKASPROP,2.6,0,0.9999424910210468,5.7508978952725516e-05,Sideways
2022-01-31 10:20:00,VIKASPROP,2.6,0,0.9999469464320369,5.305356796517257e-05,Sideways
2022-01-31 10:21:00,VIKASPROP,2.6,0,0.9999503223916356,4.9677608363193086e-05,Sideways
2022-01-31 10:22:00,VIKASPROP,2.6,0,0.9999527911882764,4.72088117294033e-05,Sideways
2022-01-31 10:23:00,VIKASPROP,2.55,1,0.0,1.0,Trending
2022-01-31 10:24:00,VIKASPROP,2.6,1,0.0,1.0,Trending
2022-01-31 10:25:00,VIKASPROP,2.6,0,0.9997224003452598,0.00027759965474521655,Sideways
2022-01-31 10:26:00,VIKASPROP,2.55,1,0.0,1.0,Trending
2022-01-31 10:27:00,VIKASPROP,2.6,1,0.0,1.0,Trending
2022-01-31 10:28:00,VIKASPROP,2.6,0,0.9995479563722841,0.00045204362771434807,Sideways
2022-01-31 10:29:00,VIKASPROP,2.6,0,0.9998616763114364,0.00013832368856198888,Sideways
2022-01-31 10:30:00,VIKASPROP,2.55,1,0.0,1.0,Trending
2022-01-31 10:31:00,VIKASPROP,2.6,1,0.0,1.0,Trending
2022-01-31 10:32:00,VIKASPROP,2.6,0,0.9996832722808398,0.00031672771916177575,Sideways
2022-01-31 10:33:00,VIKASPROP,2.55,1,0.0,1.0,Trending
2022-01-31 10:34:00,VIKASPROP,2.6,1,0.0,1.0,Trending
2022-01-31 10:35:00,VIKASPROP,2.6,0,0.999522878595324,0.00047712140467690944,Sideways
2022-01-31 10:36:00,VIKASPROP,2.6,0,0.9998279582851293,0.00017204171487073577,Sideways
2022-01-31 10:37:00,VIKASPROP,2.6,0,0.9998265506746596,0.00017344932534035578,Sideways
2022-01-31 10:38:00,VIKASPROP,2.6,0,0.9998662951884525,0.0001337048115482167,Sideways
2022-01-31 10:39:00,VIKASPROP,2.6,0,0.9998985230399976,0.00010147696000164658,Sideways
2022-01-31 10:40:00,VIKASPROP,2.55,1,0.0,1.0,Trending
2022-01-31 10:41:00,VIKASPROP,2.6,1,0.0,1.0,Trending
2022-01-31 10:42:00,VIKASPROP,2.55,1,0.0,1.0,Trending
2022-01-31 10:43:00,VIKASPROP,2.6,1,0.0,1.0,Trending
2022-01-31 10:44:00,VIKASPROP,2.6,0,0.9995431749363528,0.0004568250636481156,Sideways
2022-01-31 10:45:00,VIKASPROP,2.6,0,0.9998559013533675,0.000144098646632832,Sideways
2022-01-31 10:46:00,VIKASPROP,2.6,0,0.9998963583143046,0.00010364168569475504,Sideways
2022-01-31 10:47:00,VIKASPROP,2.6,0,0.9998987940976851,0.00010120590231363248,Sideways
2022-01-31 10:48:00,VIKASPROP,2.6,0,0.9999273636432933,7.263635670669188e-05,Sideways
2022-01-31 10:49:00,VIKASPROP,2.55,1,0.0,1.0,Trending
2022-01-31 10:50:00,VIKASPROP,2.6,1,0.0,1.0,Trending
2022-01-31 10:51:00,VIKASPROP,2.6,0,0.9997224003452545,0.00027759965474521454,Sideways
2022-01-31 10:52:00,VIKASPROP,2.6,0,0.999898346223656,0.00010165377634484029,Sideways
2022-01-31 10:53:00,VIKASPROP,2.6,0,0.99989852671182,0.00010147328818001991,Sideways
2022-01-31 10:54:00,VIKASPROP,2.6,0,0.9998952627844072,0.00010473721559337177,Sideways
2022-01-31 10:55:00,VIKASPROP,2.6,0,0.9999316240526507,6.837594734919788e-05,Sideways
2022-01-31 10:56:00,VIKASPROP,2.6,0,0.9999556308378341,4.4369162166393996e-05,Sideways
2022-01-31 10:57:00,VIKASPROP,2.6,0,0.9999755758195956,2.442418040419882e-05,Sideways
2022-01-31 10:58:00,VIKASPROP,2.6,0,0.9999887542662717,1.1245733728110858e-05,Sideways
2022-01-31 10:59:00,VIKASPROP,2.6,0,0.9999889085612162,1.10914387853585e-05,Sideways
2022-01-31 11:00:00,VIKASPROP,2.55,1,0.0,1.0,Trending
2022-01-31 11:01:00,VIKASPROP,2.6,1,0.0,1.0,Trending
2022-01-31 11:02:00,VIKASPROP,2.6,0,0.9998779072962422,0.0001220927037578618,Sideways
2022-01-31 11:03:00,VIKASPROP,2.6,0,0.9999550339919507,4.4966008047978614e-05,Sideways
2022-01-31 11:04:00,VIKASPROP,2.6,0,0.9999728886653876,2.711133461371143e-05,Sideways
2022-01-31 11:05:00,VIKASPROP,2.6,0,0.9999876688628443,1.233113715420421e-05,Sideways
2022-01-31 11:06:00,VIKASPROP,2.6,0,0.9999880164264529,1.1983573546081754e-05,Sideways
2022-01-31 11:07:00,VIKASPROP,2.6,0,0.9999883109111415,1.1689088861321333e-05,Sideways
2022-01-31 11:08:00,VIKASPROP,2.6,0,0.9999885559690893,1.1444030911913963e-05,Sideways
2022-01-31 11:09:00,VIKASPROP,2.6,0,0.9999887544310873,1.1245568909825634e-05,Sideways
2022-01-31 11:10:00,VIKASPROP,2.6,0,0.9999889085612198,1.1091438783294403e-05,Sideways
2022-01-31 11:11:00,VIKASPROP,2.6,0,0.9999890200999146,1.0979900083847756e-05,Sideways
2022-01-31 11:12:00,VIKASPROP,2.6,0,0.9999890902968038,1.0909703193250867e-05,Sideways
2022-01-31 11:13:00,VIKASPROP,2.6,0,0.9999891199340426,1.088006596164177e-05,Sideways
2022-01-31 11:14:00,VIKASPROP,2.6,0,0.9999891093408326,1.0890659164646e-05,Sideways
2022-01-31 11:15:00,VIKASPROP,2.6,0,0.9999968689540698,3.131045931401606e-06,Sideways
2022-01-31 11:16:00,VIKASPROP,2.6,0,0.9999999123228388,8.767715445961487e-08,Sideways
2022-01-31 11:17:00,VIKASPROP,2.6,0,0.9999999123231514,8.767685316608547e-08,Sideways
2022-01-31 11:18:00,VIKASPROP,2.6,0,0.9999999123231514,8.767685316605558e-08,Sideways
2022-01-31 11:19:00,VIKASPROP,2.6,0,0.9999999123231514,8.767685316605558e-08,Sideways
2022-01-31 11:20:00,VIKASPROP,2.6,0,0.9999999123231514,8.767685316605558e-08,Sideways
2022-01-31 11:21:00,VIKASPROP,2.6,0,0.9999999123231514,8.767685316605558e-08,Sideways
2022-01-31 11:22:00,VIKASPROP,2.6,0,0.9999999123231514,8.767685316605558e-08,Sideways
2022-01-31 11:23:00,VIKASPROP,2.55,1,0.0,1.0,Trending
2022-01-31 11:24:00,VIKASPROP,2.6,1,0.0,1.0,Trending
2022-01-31 11:25:00,VIKASPROP,2.6,0,0.9999637574505951,3.624254940654871e-05,Sideways
2022-01-31 11:26:00,VIKASPROP,2.55,1,0.0,1.0,Trending
2022-01-31 11:27:00,VIKASPROP,2.55,0,0.9998489794649271,0.00015102053507158556,Sideways
2022-01-31 11:30:00,VIKASPROP,2.6,1,0.0,1.0,Trending
2022-01-31 11:31:00,VIKASPROP,2.6,0,0.9998137178981821,0.00018628210182259746,Sideways
2022-01-31 11:32:00,VIKASPROP,2.6,0,0.9999397946959784,6.020530402117812e-05,Sideways
2022-01-31 11:33:00,VIKASPROP,2.6,0,0.9999469462705248,5.305372947591594e-05,Sideways
2022-01-31 11:34:00,VIKASPROP,2.6,0,0.9999516617719578,4.833822804237476e-05,Sideways
2022-01-31 11:35:00,VIKASPROP,2.6,0,0.9999544695140273,4.553048597534638e-05,Sideways
2022-01-31 11:38:00,VIKASPROP,2.6,0,0.999955664616797,4.433538319926462e-05,Sideways
2022-01-31 11:39:00,VIKASPROP,2.6,0,0.999955369148101,4.463085189610281e-05,Sideways
2022-01-31 11:40:00,VIKASPROP,2.6,0,0.9999535531417219,4.644685827818919e-05,Sideways
2022-01-31 11:41:00,VIKASPROP,2.6,0,0.9999500294764542,4.9970523544400566e-05,Sideways
2022-01-31 11:43:00,VIKASPROP,2.6,0,0.999976332434485,2.366756552059622e-05,Sideways
2022-01-31 11:44:00,VIKASPROP,2.6,0,0.999988655344869,1.1344655131450184e-05,Sideways
