<ticker>,<date>,<time>,<open>,<high>,<low>,<close>,<volume>,<o/i> 
HDFCBANK,04/01/2021,09:57:00,1488.00,1489.00,1488.00,1489.00,12381,0
HDFCBANK,04/01/2021,09:58:00,1489.15,1490.00,1488.55,1489.70,29442,0
HDFCBANK,04/01/2021,09:59:00,1489.70,1489.70,1488.85,1489.30,70714,0
HDFCBANK,04/01/2021,10:00:00,1489.30,1489.95,1489.00,1489.60,11851,0
HDFCBANK,04/01/2021,10:01:00,1489.70,1490.15,1489.50,1490.10,18593,0
HDFCBANK,04/01/2021,10:02:00,1490.05,1490.50,1489.20,1489.45,19203,0
HDFCBANK,04/01/2021,10:03:00,1489.05,1489.90,1487.40,1487.80,19184,0
HDFCBANK,04/01/2021,10:04:00,1487.80,1487.90,1487.00,1487.35,19084,0
HDFCBANK,04/01/2021,10:05:00,1487.35,1487.50,1486.25,1486.50,22365,0
HDFCBANK,04/01/2021,10:06:00,1486.35,1487.45,1486.00,1486.05,23584,0
HDFCBANK,04/01/2021,10:07:00,1486.00,1486.25,1485.30,1485.75,28541,0
HDFCBANK,04/01/2021,10:08:00,1485.80,1486.60,1485.50,1486.55,22141,0
HDFCBANK,04/01/2021,10:09:00,1486.55,1486.55,1486.00,1486.25,10532,0
HDFCBANK,04/01/2021,10:10:00,1486.25,1486.30,1485.55,1485.90,16686,0
HDFCBANK,04/01/2021,10:11:00,1485.90,1487.00,1485.30,1485.70,20308,0
HDFCBANK,04/01/2021,10:12:00,1485.70,1485.70,1482.00,1482.95,122929,0
HDFCBANK,04/01/2021,10:13:00,1482.95,1483.10,1481.95,1482.10,42668,0
HDFCBANK,04/01/2021,10:14:00,1481.80,1482.40,1481.00,1481.20,43000,0
HDFCBANK,04/01/2021,10:15:00,1481.30,1483.05,1481.00,1482.80,44048,0
HDFCBANK,04/01/2021,10:16:00,1482.80,1483.50,1482.05,1483.40,30823,0
HDFCBANK,04/01/2021,10:17:00,1483.40,1483.80,1483.00,1483.80,16104,0
HDFCBANK,04/01/2021,10:18:00,1483.70,1484.45,1483.45,1484.30,21478,0
