datetime,Close_A,Close_B,beta,alpha,spread,spread_mean,spread_std,z
2022-01-01 00:00:00,4.65,8.05,1.3815020123016175,1.3815020123016175,0.24451363049586128,0.24451363049586128,0.08561695295202701,0.0
2022-01-01 00:01:00,4.65,8.05,1.402972106797395,1.4027467289300681,0.12343297446204549,0.18397330247895338,0.08561695295202701,-0.7071067811865476
2022-01-01 00:02:00,4.65,8.05,1.4103570376659942,1.4099065357343392,0.08193323911878814,0.14995994802556498,0.08447399694527492,-0.8052976225435007
2022-01-01 00:03:00,4.65,8.05,1.4141362594430062,1.4134638422008783,0.060802551389143034,0.12767059886645948,0.08212489137701356,-0.8142238772693531
2022-01-01 00:04:00,4.65,8.05,1.4164573672589897,1.4155677271357843,0.04790551510991392,0.11171758211515037,0.07956674591248818,-0.8019941782641259
2022-01-01 00:05:00,4.65,8.05,1.4180432408052719,1.41694221283798,0.03915671741750515,0.09962410466554283,0.07708571090044483,-0.784417585849737
2022-01-01 00:06:00,4.65,8.05,1.419205219667651,1.4178995926031914,0.032796135942231075,0.09007725199078401,0.07476520442565945,-0.7661467187655281
2022-01-01 00:07:00,4.65,8.05,1.420099372489062,1.4185967308009797,0.02794118712488114,0.08231024388254615,0.0726216162174637,-0.7486621696060601
2022-01-01 00:08:00,4.65,8.05,1.4208125157476543,1.419121089224365,0.02410071254904267,0.07584251817882354,0.07064803628756684,-0.7323884477010831
2022-01-01 00:09:00,4.65,8.05,1.4213967820874231,1.4195252992703267,0.020979664023156985,0.07035623276325689,0.06882998356644213,-0.7173700498190053
2022-01-01 00:10:00,4.65,8.05,1.4218853843217445,1.4198429310784266,0.018390031825461506,0.06563203267800276,0.06715138647028585,-0.7035148987347507
2022-01-01 00:11:00,4.65,8.05,1.4223005142807141,1.4200963999986802,0.016206208595999527,0.06151321400450249,0.06559685630481493,-0.6906886695601805
2022-01-01 00:12:00,4.65,8.05,1.4226576004546436,1.4203012343044288,0.014340923581478648,0.0578845762796545,0.06415247264588843,-0.6787525235158117
2022-01-01 00:13:00,4.65,8.05,1.4229677404406031,1.4204685196703828,0.012731487280813525,0.054659355636880146,0.06280595864087489,-0.667577874192011
2022-01-01 00:14:00,4.65,8.05,1.4232391579808952,1.4206063695683369,0.011331545820501887,0.05177083498245493,0.06154661158150751,-0.6570514301733479
2022-01-01 00:15:00,4.65,8.05,1.4234781105584904,1.4207208468974544,0.010105939005566,0.04916677898389937,0.06036514523838875,-0.6470760539724989
2022-01-01 00:16:00,4.65,8.05,1.4236894736076502,1.420816562317881,0.009027385406545463,0.04680563818523149,0.05925351126290163,-0.6375698582834674
2022-01-01 00:17:00,4.65,8.05,1.4238771272233555,1.4208970746761238,0.00807428373527408,0.04465389627134497,0.05820472766855528,-0.6284646282407191
2022-01-01 00:18:00,4.65,8.05,1.4240442184084683,1.420965166174702,0.0072292182259214854,0.04268417637421742,0.05721272482990105,-0.6197040650258652
2022-01-01 00:19:00,4.65,8.05,1.4241933427596987,1.4210230359101577,0.006477920257243142,0.04087386356836871,0.056272211622669314,-0.6112420734725331
2022-01-01 00:20:00,4.65,8.05,1.424326672796552,1.4210724388078317,0.00580853268820114,0.03920408590740835,0.05537856098743487,-0.6030411882097207
2022-01-01 00:21:00,4.65,8.05,1.4244460502410978,1.4211147871732193,0.005211079205675873,0.03765894923914778,0.054527712920995994,-0.5950711719834081
2022-01-01 00:22:00,4.65,8.05,1.4245530535139541,1.4211512261090677,0.004677075051045421,0.03622495470923028,0.053716092561673166,-0.5873077909001615
2022-01-01 00:23:00,4.65,8.05,1.4246490479247687,1.4211826903156914,0.004199236834134368,0.034890549797767956,0.0529405411070484,-0.5797317579654925
2022-01-01 00:24:00,4.65,8.05,1.4247352236067579,1.4212099474032598,0.003771262825315702,0.03364577831886986,0.052198257535201686,-0.5723278305488886
2022-01-01 00:25:00,4.65,8.05,1.4248126246557011,1.421233631282059,0.0033876640689314286,0.03248200469387223,0.05148674937718474,-0.5650840454463288
2022-01-01 00:26:00,4.65,8.05,1.4248821718756424,1.4212542681536064,0.003043632624656567,0.031391694617234615,0.05080379105785487,-0.5579910751206647
2022-01-01 00:27:00,4.65,8.05,1.4249446808182393,1.421272296916161,0.002734937279026184,0.030368238998012886,0.050147388563860223,-0.55104168951484
2022-01-01 00:28:00,4.65,8.05,1.4250008763128028,1.4212880853074186,0.002457839838047704,0.029405811440772707,0.049515749405727505,-0.5442303090662286
2022-01-01 00:29:00,4.65,8.05,1.4250514043447446,1.421301942762122,0.002209027034815847,0.028499251960574144,0.0489072570164051,-0.5375526359398911
2022-01-01 00:30:00,4.65,8.05,1.4250968419028236,1.4213141307160493,0.0019855544358211574,0.027643971395259533,0.04832044887464624,-0.5310053519163677
2022-01-01 00:31:00,4.65,8.05,1.4251377052481577,1.421324870909589,0.0017847996864777116,0.0268358722793601,0.04775399776241928,-0.5245858727370613
2022-01-01 00:32:00,4.65,8.05,1.4251744569389528,1.4213343521134436,0.0016044231204261905,0.02607128291090756,0.047206695665170814,-0.5182921499954308
2022-01-01 00:33:00,4.65,8.05,1.4252075118596976,1.4213427356020323,0.0014423342503739889,0.025346902067950688,0.04667743990587639,-0.5121225128408824
2022-01-01 00:34:00,4.65,8.05,1.4252372424421675,1.4213501596274474,0.001296663016473687,0.02465975238076563,0.046165221171510826,-0.5060755428311393
2022-01-01 00:35:00,4.65,8.05,1.4252639832210174,1.4213567430917262,0.0011657349305416176,0.024007140784926075,0.045669113146453166,-0.5001499762243228
2022-01-01 00:36:00,4.65,8.05,1.425288034834184,1.421362588573087,0.0010480494479576663,0.023386624802845847,0.0451882635135541,-0.4943446288478818
2022-01-01 00:37:00,4.65,8.05,1.4253096675543486,1.4213677848293322,0.0009422610429474787,0.022795983651269575,0.04472188612188688,-0.48865833942604875
2022-01-01 00:38:00,4.65,8.05,1.4253291244199102,1.4213724088764326,0.0008471625709844943,0.0222331933671597,0.04426925415200011,-0.4830899278931939
2022-01-01 00:39:00,4.65,8.05,1.4253466240205908,1.4213765277206263,0.0007616705836266391,0.021696405297571376,0.043829694135955215,-0.4776381657833919
2022-01-01 00:40:00,4.65,8.05,1.425362362982688,1.4213801998069096,0.0006848123235911885,0.021183927420157223,0.043402580711502596,-0.4723017562670723
2022-01-01 00:41:00,4.65,8.05,1.4253765181912672,1.4213834762345716,0.0006157141760354534,0.020694208057201943,0.04298733200819905,-0.46707932181827155
