datetime,Close_A,Close_B,regime_A,regime_B,beta,alpha,spread,spread_mean,spread_std,z
2022-05-31 10:15:00,1.3,2.55,Sideways,Trending,0.9324324324324327,0.9324324324324327,0.4054054054054044,0.4054054054054044,0.09011950946560315,0.0
2022-05-31 10:16:00,1.25,2.6,Trending,Sideways,1.0320344840635052,1.0319997220358808,0.27795717288473787,0.3416812891450711,0.09011950946560315,-0.7071067811865476
2022-05-31 10:17:00,1.3,2.6,Trending,Trending,1.0634137065486713,1.0633414549639457,0.15422072652278151,0.27919443493764123,0.12559691015061736,-0.9950380806740365
2022-05-31 10:18:00,1.3,2.6,Sideways,Trending,1.0796858403503649,1.0795767052840015,0.1168317022605243,0.23860375176836202,0.13079297942492965,-0.9310289439329607
2022-05-31 10:19:00,1.25,2.6,Trending,Trending,1.0940644335130798,1.093914608987497,0.13850484912115357,0.21858397123892032,0.12179515861631206,-0.6574901911334408
2022-05-31 10:20:00,1.3,2.6,Trending,Trending,1.1001267720265964,1.0999432243501481,0.06989197201527686,0.1938019713683131,0.12470819393856505,-0.9935995016821265
2022-05-31 10:21:00,1.3,2.6,Sideways,Trending,1.104497044747634,1.1042804175157503,0.05987342431232534,0.17466932178888625,0.1245894029295949,-0.9213937524159397
2022-05-31 10:22:00,1.3,2.55,Sideways,Trending,1.1050419927180477,1.1048199886530052,0.008625420813532791,0.15391383416696708,0.12942696277594534,-1.1225513620755139
2022-05-31 10:23:00,1.3,2.6,Sideways,Sideways,1.1079450069821062,1.1076868917442475,0.051984599179014435,0.14258836361275012,0.12574505121952162,-0.7205354290687956
2022-05-31 10:24:00,1.25,2.55,Trending,Trending,1.1104780921162007,1.1101913461732915,0.05171103868145721,0.13350063111962082,0.12198695860059154,-0.6704781673093291
2022-05-31 10:25:00,1.3,2.55,Trending,Trending,1.1103197650908445,1.1100359882019133,-0.0034516828200112926,0.12105042076147245,0.12287319227294367,-1.0132568486128504
2022-05-31 10:26:00,1.3,2.6,Sideways,Sideways,1.1121108528416563,1.1117876327696166,0.04246825853623015,0.11450190724270226,0.11933100399605293,-0.6036457106223186
2022-05-31 10:27:00,1.25,2.55,Trending,Trending,1.1138011971815327,1.1134463090098061,0.04430219451327755,0.10910192934043882,0.11589783447487116,-0.5591108334402147
2022-05-31 10:28:00,1.3,2.55,Trending,Trending,1.1134152302819358,1.1130718015687795,-0.01051160093529635,0.10055810574931488,0.11584908490552312,-0.9587447909078475
2022-05-31 10:29:00,1.25,2.55,Trending,Trending,1.1148289257213686,1.1144507594971447,0.04201308335114451,0.09665510425610352,0.11265375350178544,-0.48504394400043666
