,index,datetime,close,ticker
0,0,2021-04-30 00:00:00,3.3,BCP
1,1,2021-04-30 00:01:00,3.3,BCP
2,2,2021-04-30 00:02:00,3.3,BCP
3,3,2021-04-30 00:03:00,3.3,BCP
4,4,2021-04-30 00:04:00,3.3,BCP
5,5,2021-04-30 00:05:00,3.3,BCP
6,6,2021-04-30 00:06:00,3.3,BCP
7,7,2021-04-30 00:07:00,3.3,BCP
8,8,2021-04-30 00:08:00,3.3,BCP
9,9,2021-04-30 00:09:00,3.3,BCP
10,10,2021-04-30 00:10:00,3.3,BCP
11,11,2021-04-30 00:11:00,3.3,BCP
12,12,2021-04-30 00:12:00,3.3,BCP
13,13,2021-04-30 00:13:00,3.3,BCP
14,14,2021-04-30 00:14:00,3.3,BCP
15,15,2021-04-30 00:15:00,3.3,BCP
16,16,2021-04-30 00:16:00,3.3,BCP
17,17,2021-04-30 00:17:00,3.3,BCP
18,18,2021-04-30 00:18:00,3.3,BCP
19,19,2021-04-30 00:19:00,3.3,BCP
20,20,2021-04-30 00:20:00,3.3,BCP
21,21,2021-04-30 00:21:00,3.3,BCP
22,22,2021-04-30 00:22:00,3.3,BCP
23,23,2021-04-30 00:23:00,3.3,BCP
24,24,2021-04-30 00:24:00,3.3,BCP
25,25,2021-04-30 00:25:00,3.3,BCP
26,26,2021-04-30 00:26:00,3.3,BCP
27,27,2021-04-30 00:27:00,3.3,BCP
28,28,2021-04-30 00:28:00,3.3,BCP
29,29,2021-04-30 00:29:00,3.3,BCP
30,30,2021-04-30 00:30:00,3.3,BCP
31,31,2021-04-30 00:31:00,3.3,BCP
32,32,2021-04-30 00:32:00,3.3,BCP
33,33,2021-04-30 00:33:00,3.3,BCP
34,34,2021-04-30 00:34:00,3.3,BCP
35,35,2021-04-30 00:35:00,3.3,BCP
36,36,2021-04-30 00:36:00,3.3,BCP
37,37,2021-04-30 00:37:00,3.3,BCP
38,38,2021-04-30 00:38:00,3.3,BCP
39,39,2021-04-30 00:39:00,3.3,BCP
40,40,2021-04-30 00:40:00,3.3,BCP
41,41,2021-04-30 00:41:00,3.3,BCP
42,42,2021-04-30 00:42:00,3.3,BCP
43,43,2021-04-30 00:43:00,3.3,BCP
44,44,2021-04-30 00:44:00,3.3,BCP
45,45,2021-04-30 00:45:00,3.3,BCP
46,46,2021-04-30 00:46:00,3.3,BCP
47,47,2021-04-30 00:47:00,3.3,BCP
48,48,2021-04-30 00:48:00,3.3,BCP
49,49,2021-04-30 00:49:00,3.3,BCP
50,50,2021-04-30 00:50:00,3.3,BCP
51,51,2021-04-30 00:51:00,3.3,BCP
52,52,2021-04-30 00:52:00,3.3,BCP
53,53,2021-04-30 00:53:00,3.3,BCP
54,54,2021-04-30 00:54:00,3.3,BCP
55,55,2021-04-30 00:55:00,3.3,BCP
56,56,2021-04-30 00:56:00,3.3,BCP
57,57,2021-04-30 00:57:00,3.3,BCP
58,58,2021-04-30 00:58:00,3.3,BCP
59,59,2021-04-30 00:59:00,3.3,BCP
60,60,2021-04-30 01:00:00,3.3,BCP
61,61,2021-04-30 01:01:00,3.3,BCP
62,62,2021-04-30 01:02:00,3.3,BCP
63,63,2021-04-30 01:03:00,3.3,BCP
64,64,2021-04-30 01:04:00,3.3,BCP
65,65,2021-04-30 01:05:00,3.3,BCP
66,66,2021-04-30 01:06:00,3.3,BCP
67,67,2021-04-30 01:07:00,3.3,BCP
68,68,2021-04-30 01:08:00,3.3,BCP
69,69,2021-04-30 01:09:00,3.3,BCP
70,70,2021-04-30 01:10:00,3.3,BCP
71,71,2021-04-30 01:11:00,3.3,BCP
72,72,2021-04-30 01:12:00,3.3,BCP
73,73,2021-04-30 01:13:00,3.3,BCP
74,74,2021-04-30 01:14:00,3.3,BCP
75,75,2021-04-30 01:15:00,3.3,BCP
76,76,2021-04-30 01:16:00,3.3,BCP
77,77,2021-04-30 01:17:00,3.3,BCP
78,78,2021-04-30 01:18:00,3.3,BCP
79,79,2021-04-30 01:19:00,3.3,BCP
80,80,2021-04-30 01:20:00,3.3,BCP
81,81,2021-04-30 01:21:00,3.3,BCP
82,82,2021-04-30 01:22:00,3.3,BCP
83,83,2021-04-30 01:23:00,3.3,BCP
84,84,2021-04-30 01:24:00,3.3,BCP
85,85,2021-04-30 01:25:00,3.3,BCP
86,86,2021-04-30 01:26:00,3.3,BCP
87,87,2021-04-30 01:27:00,3.3,BCP
88,88,2021-04-30 01:28:00,3.3,BCP
89,89,2021-04-30 01:29:00,3.3,BCP
90,90,2021-04-30 01:30:00,3.3,BCP
91,91,2021-04-30 01:31:00,3.3,BCP
92,92,2021-04-30 01:32:00,3.3,BCP
93,93,2021-04-30 01:33:00,3.3,BCP
94,94,2021-04-30 01:34:00,3.3,BCP
95,95,2021-04-30 01:35:00,3.3,BCP
96,96,2021-04-30 01:36:00,3.3,BCP
97,97,2021-04-30 01:37:00,3.3,BCP
98,98,2021-04-30 01:38:00,3.3,BCP
99,99,2021-04-30 01:39:00,3.3,BCP
100,100,2021-04-30 01:40:00,3.3,BCP
101,101,2021-04-30 01:41:00,3.3,BCP
102,102,2021-04-30 01:42:00,3.3,BCP
103,103,2021-04-30 01:43:00,3.3,BCP
104,104,2021-04-30 01:44:00,3.3,BCP
105,105,2021-04-30 01:45:00,3.3,BCP
106,106,2021-04-30 01:46:00,3.3,BCP
107,107,2021-04-30 01:47:00,3.3,BCP
108,108,2021-04-30 01:48:00,3.3,BCP
109,109,2021-04-30 01:49:00,3.3,BCP
110,110,2021-04-30 01:50:00,3.3,BCP
111,111,2021-04-30 01:51:00,3.3,BCP
112,112,2021-04-30 01:52:00,3.3,BCP
113,113,2021-04-30 01:53:00,3.3,BCP
114,114,2021-04-30 01:54:00,3.3,BCP
115,115,2021-04-30 01:55:00,3.3,BCP
116,116,2021-04-30 01:56:00,3.3,BCP
117,117,2021-04-30 01:57:00,3.3,BCP
118,118,2021-04-30 01:58:00,3.3,BCP
119,119,2021-04-30 01:59:00,3.3,BCP
120,120,2021-04-30 02:00:00,3.3,BCP
121,121,2021-04-30 02:01:00,3.3,BCP
122,122,2021-04-30 02:02:00,3.3,BCP
123,123,2021-04-30 02:03:00,3.3,BCP
124,124,2021-04-30 02:04:00,3.3,BCP
125,125,2021-04-30 02:05:00,3.3,BCP
126,126,2021-04-30 02:06:00,3.3,BCP
127,127,2021-04-30 02:07:00,3.3,BCP
128,128,2021-04-30 02:08:00,3.3,BCP
129,129,2021-04-30 02:09:00,3.3,BCP
