pair,trades,net_pnl,win_rate,daily_sharpe
KRIDHANINF_RNAVAL,1,4502.922,1.0,0.0
UNITECH_FCONSUMER,0,0.0,0.0,0.0
UNITECH_VIKASPROP,0,0.0,0.0,0.0
