datetime,Close_A,Close_B,regime_A,regime_B,beta,alpha,spread,spread_mean,spread_std,z
2022-05-31 10:15:00,2.3,1.9,,,0.5273338940285954,0.5273338940285954,0.1597981497056351,0.1597981497056351,0.05411375831457934,0.0
2022-05-31 10:16:00,2.3,1.9,,,0.5505407314000718,0.5504865789936576,0.08326973878617716,0.12153394424590613,0.05411375831457934,-0.7071067811865476
2022-05-31 10:17:00,2.3,1.9,,Sideways,0.5587649528483486,0.5586552215638464,0.05618538688495178,0.09975109179225468,0.053736648597740064,-0.8107261253567474
2022-05-31 10:18:00,2.3,1.9,,Sideways,0.5629909566402209,0.56282548939691,0.04229531033058187,0.08538714642683648,0.052444033415196135,-0.8216728060387583
2022-05-31 10:19:00,2.25,1.85,,Trending,0.5642277768447074,0.5640366983455174,0.016450803753891075,0.0715998778922474,0.0548928624582924,-1.0046674862375522
2022-05-31 10:20:00,2.3,1.9,,Trending,0.5662150289418632,0.5659609757188286,0.03174445771488621,0.0649573078626872,0.05172352944915567,-0.642122656777498
2022-05-31 10:21:00,2.3,1.85,,Trending,0.565388324857875,0.5651700230212237,-0.015563170194336173,0.053454382425969574,0.05617523746382261,-1.228611675469173
2022-05-31 10:22:00,2.3,1.9,,Trending,0.5667780842542138,0.56648170710587,0.029928699109438295,0.050513672011403166,0.052669073845599046,-0.39083605233519636
2022-05-31 10:23:00,2.3,1.9,,Sideways,0.567873497712125,0.567500124550606,0.026390830711506386,0.04783335631141464,0.04991927736404509,-0.42954399046153796
2022-05-31 10:24:00,2.3,1.9,,Sideways,0.5687619657529689,0.5683127407583127,0.023534738009858724,0.04540349448125904,0.0476874716678127,-0.4585849428910052
2022-05-31 10:25:00,2.3,1.9,,Sideways,0.5694992488363065,0.5689753878547633,0.021176339821731727,0.04320102587584747,0.04582624800480239,-0.4806129022783548
2022-05-31 10:26:00,2.25,1.9,Trending,Sideways,0.5709397735384544,0.570253542338748,0.04513196719972945,0.043361937652837634,0.04369716850112533,0.040506733218795
2022-05-31 10:27:00,2.25,1.9,Sideways,Sideways,0.5721830435830818,0.5713361141079811,0.04125203783008469,0.04319963766647202,0.0418409459797086,-0.04654770084146409
2022-05-31 10:28:00,2.25,1.9,Sideways,Sideways,0.5732691944291773,0.5722636988446311,0.037880613689719844,0.0428197073824183,0.04022460812401515,-0.12278786352550403
2022-05-31 10:29:00,2.25,1.9,Sideways,Sideways,0.5742279496327578,0.5730663881009799,0.034920725225314975,0.042293108571944744,0.03881502158407228,-0.18993634540847512
2022-05-31 10:30:00,2.25,1.9,Sideways,,0.5750817895397489,0.5737669609545643,0.03229901258100076,0.04166847757251074,0.03758201869734772,-0.24930712389250156
2022-05-31 10:31:00,2.3,1.95,Trending,Trending,0.5763734167446878,0.5747942165226292,0.04954692496458901,0.0421319156543977,0.0364387677320452,0.2034923179817181
2022-05-31 10:32:00,2.3,1.95,Sideways,Sideways,0.5775352082054263,0.5756991418477823,0.04596987927973761,0.042345135855805474,0.03536236977577025,0.10250284262384919
2022-05-31 10:33:00,2.25,1.95,Trending,Sideways,0.5792176635712242,0.5769995796154445,0.06976067734930091,0.04378805909230523,0.03493685234200783,0.7434160926331188
2022-05-31 10:34:00,2.3,1.95,Trending,,0.5801331015560901,0.5776828966224128,0.038010969798579985,0.04349920462761897,0.03402956280623235,-0.16127844075721834
2022-05-31 10:35:00,2.3,1.95,Sideways,,0.5809698708925473,0.5782947718897494,0.03547452505739179,0.04311707702903672,0.0332141090363374,-0.23009956290815176
2022-05-31 10:36:00,2.3,1.95,,Sideways,0.5817379491947822,0.5788451080826806,0.03315760876932039,0.042664373926322344,0.032483126101165,-0.29266780319708807
2022-05-31 10:37:00,2.3,1.9,,Trending,0.5813785134511918,0.5785926782344657,-0.015763259172207,0.04012404205247324,0.03399437509501357,-1.6440161370366833
2022-05-31 10:38:00,2.3,1.9,Sideways,,0.5810463017183106,0.5783639138936454,-0.014770407845759781,0.037836773306713534,0.035084635624178885,-1.4994364403835683
2022-05-31 10:39:00,2.3,1.95,,Trending,0.5817807328107782,0.5788600000187543,0.03304431451645584,0.037645074955103226,0.034359300695662155,-0.13390145740737466
2022-05-31 10:40:00,2.25,1.9,Trending,Trending,0.5820263388655087,0.5790264888965616,0.011414248656043569,0.03663619702052401,0.03405587738382369,-0.7406048618339427
2022-05-31 10:41:00,2.3,1.95,Trending,Trending,0.5826896543607544,0.5794576310930732,0.030356163877191866,0.0364036032004006,0.0334163983978231,-0.18097220565824623
2022-05-31 10:42:00,2.25,1.95,Trending,Sideways,0.5838773014154163,0.5802352862679114,0.05604078554740188,0.03710493114136493,0.03300106314493997,0.5737952841964844
2022-05-31 10:43:00,2.3,1.95,Trending,Sideways,0.5844222140141303,0.5805768122573982,0.0252520955101021,0.03669621267132138,0.03248106030248207,-0.352332006857078
2022-05-31 10:44:00,2.3,1.95,Sideways,Sideways,0.5849319277621633,0.5808910279713712,0.02376553817565319,0.03626519018813244,0.03200332349440572,-0.39057356073234806
2022-05-31 10:45:00,2.3,1.95,Sideways,Sideways,0.5854093706421057,0.5811806725568165,0.022377774966340302,0.035817209051945596,0.031564118725451826,-0.4257820154113273
2022-05-31 10:46:00,2.25,1.95,Trending,,0.5864204782186886,0.5818034784793505,0.048750445528600084,0.03622137269184105,0.0311349037562625,0.40241244793438374
2022-05-31 10:47:00,2.3,1.95,Trending,,0.5868087407016922,0.5820315781859955,0.018308318200112472,0.035678552858758365,0.030802801794864186,-0.56391735967155
2022-05-31 10:48:00,2.3,1.95,Sideways,Sideways,0.5871734718951075,0.582242821276664,0.017258193364589003,0.035136777579518094,0.030496563690040904,-0.586249139301147
2022-05-31 10:49:00,2.3,1.95,Sideways,,0.5875163916182371,0.5824387281213205,0.016273571156734112,0.03459782882458141,0.030213450137244916,-0.6064933857142816
2022-05-31 10:50:00,2.3,1.95,Sideways,,0.5878390473407107,0.5826206474884413,0.01534954362792429,0.034063154235785376,0.029951003926267875,-0.6248074573369716
2022-05-31 10:51:00,2.3,1.95,Sideways,,0.5881428378099879,0.582789780233734,0.014481692803294033,0.033533925548420745,0.029707024434652528,-0.6413376333613118
2022-05-31 10:52:00,2.3,1.95,Sideways,,0.5884290327257246,0.5829471991497825,0.013666025581051011,0.033011086075595227,0.029479543321376516,-0.6562198160144673
2022-05-31 10:53:00,2.25,1.95,Trending,,0.5892596449261519,0.583417507664801,0.04074829125135726,0.033209475951896814,0.029115440791749887,0.25892842747538397
