datetime,Close_A,Close_B,regime_A,regime_B,beta,alpha,spread,spread_mean,spread_std,z
2022-05-31 10:15:00,1.65,1.9,,,0.6276098473044563,0.6276098473044563,0.23683390464319043,0.23683390464319043,0.07825648183003796,0.0
2022-05-31 10:16:00,1.65,1.9,,,0.669388111938602,0.6693470886057595,0.12616252669554706,0.18149821566936875,0.07825648183003796,-0.7071067811865476
2022-05-31 10:17:00,1.65,1.9,,Sideways,0.6846074553931797,0.6845236342981926,0.08587406430306088,0.14962349854726611,0.07816668887096163,-0.8155575624988216
2022-05-31 10:18:00,1.65,1.9,,Sideways,0.6925018799573499,0.6923748755039988,0.06499702256637363,0.128466879552043,0.07657521972067262,-0.8288563482702582
2022-05-31 10:19:00,1.65,1.85,Sideways,Trending,0.6936192191844657,0.6934822402293642,0.012046048116267638,0.10518271326488793,0.0843124261594423,-1.1046611916076352
2022-05-31 10:20:00,1.65,1.9,Sideways,Trending,0.6975185755778187,0.6973303367190001,0.051764013577598966,0.09627959665033976,0.07850134442559942,-0.5670677795197632
2022-05-31 10:21:00,1.65,1.85,Sideways,Trending,0.6976147725755931,0.6974247942643903,0.0015108309858811175,0.0827412015554171,0.08011492509355382,-1.0139230670774466
2022-05-31 10:22:00,1.65,1.9,Sideways,Trending,0.700104372269764,0.6998554244395586,0.044972361315331,0.07802009652540634,0.0753644307613919,-0.4385057364090808
2022-05-31 10:23:00,1.65,1.9,,Sideways,0.7020628357843801,0.7017553232404476,0.03984099771532512,0.07377797443539731,0.07163646518658592,-0.47373885117976144
2022-05-31 10:24:00,1.65,1.9,,Sideways,0.7036470173726512,0.7032814049772218,0.03570101635790368,0.06997027862764796,0.06860444949792752,-0.4995195285515632
2022-05-31 10:25:00,1.65,1.9,Sideways,Sideways,0.7049574408691874,0.7045342478692199,0.032285974696620645,0.06654443281573638,0.06606825301625004,-0.5185313150430901
2022-05-31 10:26:00,1.6,1.9,Sideways,Sideways,0.7072252709638179,0.7066974854795723,0.0617420809783189,0.06614423682928493,0.06300886032025525,-0.06986566379063482
2022-05-31 10:27:00,1.65,1.9,Trending,Sideways,0.7080750671246203,0.70749613958582,0.02417999965855655,0.06291621858538274,0.061438870124142085,-0.6304839078022855
2022-05-31 10:28:00,1.65,1.9,Sideways,Sideways,0.7088111492644789,0.7081817853360165,0.022279818377593408,0.06001361857054065,0.06001934492733011,-0.6286939692299934
2022-05-31 10:29:00,1.65,1.9,Sideways,Sideways,0.7094559076666068,0.708776825966919,0.020620926383179583,0.05738743909138324,0.05872363534234669,-0.6260939482690823
2022-05-31 10:30:00,1.65,1.9,Sideways,,0.7100261587753984,0.7092980943260291,0.019158743694563274,0.05499814562908199,0.05753179320992967,-0.6229495020908377
2022-05-31 10:31:00,1.6,1.95,Sideways,Trending,0.712746367949581,0.7117886077094812,0.09781720357118906,0.057516913743323586,0.05666470952810638,0.7112061486501761
