datetime,Close_A,Close_B,beta,alpha,spread,spread_mean,spread_std,z
2022-01-01 00:00:00,7.5,3.7,0.42935153583617747,0.42935153583617747,0.0505119453924916,0.0505119453924916,0.017991502041190627,0.0
2022-01-01 00:01:00,7.5,3.7,0.43235451681706943,0.43227300467360297,0.025068119198376593,0.037790032295434095,0.017991502041190627,-0.7071067811865475
2022-01-01 00:02:00,7.5,3.7,0.4333884622665188,0.4332273570726963,0.016359175928413183,0.030646413506427123,0.01774657547407509,-0.8050701161407344
2022-01-01 00:03:00,7.5,3.7,0.43392341279320384,0.433685903816578,0.011888500234393362,0.025956935188418684,0.017260517227234165,-0.8150645064000586
2022-01-01 00:04:00,7.5,3.7,0.4342562761981526,0.43394642729593763,0.00913150121791828,0.022591848394318603,0.01673508699926204,-0.8043189244844605
2022-01-01 00:05:00,7.5,3.7,0.4344862809223673,0.43410879758506715,0.0072440954971786375,0.02003388957812861,0.016226812050746144,-0.7881889579390223
2022-01-01 00:06:00,7.5,3.7,0.4346559873344935,0.434216002495652,0.005864092495647011,0.01800963285205981,0.015751439029279526,-0.7710749686956276
2022-01-01 00:07:00,7.5,3.7,0.43478671773508565,0.43428959196698025,0.004810025019877706,0.016359681873037046,0.015311517280496682,-0.7543117146117793
2022-01-01 00:08:00,7.5,3.7,0.4348903915694268,0.43434153553011234,0.0039805276991868865,0.014984220298164807,0.014905176689581044,-0.738246370918211
2022-01-01 00:09:00,7.5,3.7,0.4349742566029534,0.434378982368025,0.0033140931098247783,0.013817207579330804,0.014529231144733597,-0.7228954075324959
2022-01-01 00:10:00,7.5,3.7,0.43504303066205663,0.43440643512436894,0.0027708349102062435,0.012812991882137663,0.014180325903263551,-0.7081753297094711
2022-01-01 00:11:00,7.5,3.7,0.4350999636679931,0.4344268438675714,0.0023234286224802503,0.011938861610499544,0.013855350524828428,-0.6939869886935511
2022-01-01 00:12:00,7.5,3.7,0.4351474023902137,0.43444220014122065,0.0019522819321764473,0.01117066317370546,0.013551562697705709,-0.6802448874098994
2022-01-01 00:13:00,7.5,3.7,0.4351871081449019,0.4344538798010085,0.0016428091122273614,0.010490102169314166,0.013266597545615303,-0.6668848607690593
2022-01-01 00:14:00,7.5,3.7,0.4352204442967769,0.4344628508348095,0.0013838169393638466,0.00988301648731748,0.01299843416667443,-0.6538633376121565
2022-01-01 00:15:00,7.5,3.7,0.4352484918333629,0.4344698044275256,0.001166506822253055,0.009338234633250952,0.012745349519046826,-0.6411536850194618
2022-01-01 00:16:00,7.5,3.7,0.43527212360944556,0.4344752402868152,0.000983832642343252,0.008846799222021088,0.012505872118448268,-0.628741962592008
2022-01-01 00:17:00,7.5,3.7,0.43529205400410786,0.43447952361813263,0.0008300713510589475,0.00840142545141208,0.012278740317947288,-0.6166230333323706
2022-01-01 00:18:00,7.5,3.7,0.4353088734625461,0.43448292394558824,0.0007005250853162615,0.00799611490582809,0.01206286656286924,-0.6047973574513719
2022-01-01 00:19:00,7.5,3.7,0.43532307343504606,0.4344856419946062,0.0005913072425483001,0.0076258745226641,0.011857307568149596,-0.5932685172991246
2022-01-01 00:20:00,7.5,3.7,0.4353350650036756,0.4344878285533581,0.000499183919075108,0.0072865083034455765,0.011661239799999525,-0.5820414038969292
2022-01-01 00:21:00,7.5,3.7,0.43534519321023857,0.434489597850754,0.00042145307245711194,0.006974460338400646,0.011473939478478693,-0.5711209544232653
2022-01-01 00:22:00,7.5,3.7,0.43535374834997353,0.43449103713328885,0.00035585024190964987,0.006686694682031473,0.011294766328627073,-0.5605113249732333
2022-01-01 00:23:00,7.5,3.7,0.4353609750478815,0.4344922135769152,0.00030047356397355784,0.006420602135445726,0.011123150389538535,-0.5502153937636434
2022-01-01 00:24:00,7.5,3.7,0.4353670796621275,0.4344931793129015,0.0002537232211423657,0.006173926978873592,0.010958581293619154,-0.5402345065577403
2022-01-01 00:25:00,7.5,3.7,0.4353722363897707,0.4344939751082504,0.000214251968469803,0.005944708709242677,0.010800599529820213,-0.5305683934443834
2022-01-01 00:26:00,7.5,3.7,0.435376592342575,0.43449463307953456,0.00018092435115324434,0.005731235214498624,0.010648789295620381,-0.521215201959917
2022-01-01 00:27:00,7.5,3.7,0.43538027179049255,0.4344951787078428,0.00015278286346331882,0.00553200477339022,0.010502772620062217,-0.5121716050151941
